"","Brand","Rank","RankLastYear","Value","ValueLastYear","Rating","RatingLastYear","Year","PreviousYear"
"1","Apple",1,3,263374.7,140524.32,"AAA","AAA",2021,2020
"2","Amazon",2,1,254187.58,220790.75,"AAA+","AAA",2021,2020
"3","Google",3,2,191214.84,188511.64,"AAA","AAA",2021,2020
"4","Microsoft",4,4,140435.35,117072.01,"AAA","AAA",2021,2020
"5","Samsung Group",5,5,102623,94494,"AAA-","AAA-",2021,2020
"6","Walmart",6,8,93185.28,77520.39,"AA+","AA+",2021,2020
"7","Facebook",7,7,81476.37,79804.43,"AA+","AA+",2021,2020
"8","ICBC",8,6,72788.38,80791.01,"AAA","AAA",2021,2020
"9","Verizon",9,12,68889.5,63692.08,"AAA","AAA-",2021,2020
"10","WeChat",10,19,67901.98,54146.08,"AAA+","AAA+",2021,2020
"11","China Construction Bank",11,13,59649.12,62602.22,"AAA","AAA-",2021,2020
"12","Toyota",12,15,59479,58076,"AAA","AAA",2021,2020
"13","Mercedes-Benz",13,11,58225,65041,"AAA-","AAA-",2021,2020
"14","Tencent",14,26,56432.39,44090.62,"AAA","AAA+",2021,2020
"15","Huawei",15,10,55395.83,65084.36,"AAA","AAA-",2021,2020
"16","State Grid",16,16,55202.86,56964.84,"AAA-","AAA-",2021,2020
"17","Ping An",17,9,54579,69041,"AAA-","AAA-",2021,2020
"18","Taobao",18,36,53335.29,36986.44,"AAA","AAA-",2021,2020
"19","Agricultural Bank Of China",19,18,53134.09,54657.8,"AAA-","AAA-",2021,2020
"20","Home Depot",20,21,52917.39,50508.29,"AAA","AAA-",2021,2020
"21","AT&T",21,14,51372.34,59103.13,"AA","AA+",2021,2020
"22","Disney",22,17,51244.01,56123.32,"AAA+","AAA+",2021,2020
"23","Deutsche Telekom",23,30,51107.03,39956.07,"AA+","AA+",2021,2020
"24","Tmall",24,48,49178.92,30651.99,"AAA","AAA-",2021,2020
"25","Bank of China",25,20,48689.28,50629.56,"AAA","AAA-",2021,2020
"26","Volkswagen",26,25,47020,44897,"AAA-","AA+",2021,2020
"27","Moutai",27,31,45333.22,39332.15,"AAA","AAA",2021,2020
"28","Shell",28,23,42156.08,47528.71,"AAA","AAA",2021,2020
"29","BMW",29,29,40447.11,40483.36,"AAA-","AAA-",2021,2020
"30","Alibaba.com",30,92,39155.52,18818.92,"AAA","AA+",2021,2020
"31","Starbucks",31,27,38440.12,41042.79,"AAA-","AAA-",2021,2020
"32","China Mobile",32,22,37558.89,49022.94,"AAA-","AAA",2021,2020
"33","Saudi Aramco",33,24,37478.64,46767.76,"AA","AA",2021,2020
"34","Mitsubishi Group",34,34,36296.92,37652,"AA-","A+",2021,2020
"35","Marlboro",35,45,35572,32671,"AA+","AA+",2021,2020
"36","Porsche",36,40,34325.53,33911.04,"AAA-","AAA-",2021,2020
"37","NTT Group",37,37,34238,36351,"AA","AA",2021,2020
"38","McDonald's",38,35,33838.36,37448.65,"AAA","AAA",2021,2020
"39","Coca-Cola",39,33,33166.17,37934.97,"AAA+","AAA+",2021,2020
"40","Bank of America",40,38,32787.35,35361.45,"AA+","AA+",2021,2020
"41","Citi",41,43,32199.99,33131,"AAA-","AA+",2021,2020
"42","Tesla",42,147,31985.9,12415.87,"AA+","AA",2021,2020
"43","Intel",43,54,31817.2,27507.18,"AAA","AAA",2021,2020
"44","Wells Fargo",44,28,31804.69,40881.04,"AA+","AAA-",2021,2020
"45","PetroChina",45,32,31414.63,38028.1,"AA+","AAA-",2021,2020
